attack,defense,hp,iconPokemon,id,name,spAttack,spDefense,speed,total,typePokemon
49,49,45,https://img.pokemondb.net/sprites/sword-shield/icon/bulbasaur.png,0001,Bulbasaur,65,65,45,318,"Grass,Poison"
62,63,60,https://img.pokemondb.net/sprites/sword-shield/icon/ivysaur.png,0002,Ivysaur,80,80,60,405,"Grass,Poison"
82,83,80,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur.png,0003,Venusaur,100,100,80,525,"Grass,Poison"
100,123,80,https://img.pokemondb.net/sprites/sword-shield/icon/venusaur-mega.png,0003,Venusaur,122,120,80,625,"Grass,Poison"
52,43,39,https://img.pokemondb.net/sprites/sword-shield/icon/charmander.png,0004,Charmander,60,50,65,309,Fire
64,58,58,https://img.pokemondb.net/sprites/sword-shield/icon/charmeleon.png,0005,Charmeleon,80,65,80,405,Fire
84,78,78,https://img.pokemondb.net/sprites/sword-shield/icon/charizard.png,0006,Charizard,109,85,100,534,"Fire,Flying"
130,111,78,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-x.png,0006,Charizard,130,85,100,634,"Fire,Dragon"
104,78,78,https://img.pokemondb.net/sprites/sword-shield/icon/charizard-mega-y.png,0006,Charizard,159,115,100,634,"Fire,Flying"
48,65,44,https://img.pokemondb.net/sprites/sword-shield/icon/squirtle.png,0007,Squirtle,50,64,43,314,Water
63,80,59,https://img.pokemondb.net/sprites/sword-shield/icon/wartortle.png,0008,Wartortle,65,80,58,405,Water
83,100,79,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise.png,0009,Blastoise,85,105,78,530,Water
103,120,79,https://img.pokemondb.net/sprites/sword-shield/icon/blastoise-mega.png,0009,Blastoise,135,115,78,630,Water
30,35,45,https://img.pokemondb.net/sprites/sword-shield/icon/caterpie.png,0010,Caterpie,20,20,45,195,Bug
20,55,50,https://img.pokemondb.net/sprites/sword-shield/icon/metapod.png,0011,Metapod,25,25,30,205,Bug
45,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/butterfree.png,0012,Butterfree,90,80,70,395,"Bug,Flying"
35,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/weedle.png,0013,Weedle,20,20,50,195,"Bug,Poison"
25,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/kakuna.png,0014,Kakuna,25,25,35,205,"Bug,Poison"
90,40,65,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill.png,0015,Beedrill,45,80,75,395,"Bug,Poison"
150,40,65,https://img.pokemondb.net/sprites/sword-shield/icon/beedrill-mega.png,0015,Beedrill,15,80,145,495,"Bug,Poison"
45,40,40,https://img.pokemondb.net/sprites/sword-shield/icon/pidgey.png,0016,Pidgey,35,35,56,251,"Normal,Flying"
60,55,63,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeotto.png,0017,Pidgeotto,50,50,71,349,"Normal,Flying"
80,75,83,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot.png,0018,Pidgeot,70,70,101,479,"Normal,Flying"
80,80,83,https://img.pokemondb.net/sprites/sword-shield/icon/pidgeot-mega.png,0018,Pidgeot,135,80,121,579,"Normal,Flying"
56,35,30,https://img.pokemondb.net/sprites/sword-shield/icon/rattata.png,0019,Rattata,25,35,72,253,Normal
56,35,30,https://img.pokemondb.net/sprites/sword-shield/icon/rattata-alolan.png,0019,Rattata,25,35,72,253,"Dark,Normal"
81,60,55,https://img.pokemondb.net/sprites/sword-shield/icon/raticate.png,0020,Raticate,50,70,97,413,Normal
71,70,75,https://img.pokemondb.net/sprites/sword-shield/icon/raticate-alolan.png,0020,Raticate,40,80,77,413,"Dark,Normal"
60,30,40,https://img.pokemondb.net/sprites/sword-shield/icon/spearow.png,0021,Spearow,31,31,70,262,"Normal,Flying"
90,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/fearow.png,0022,Fearow,61,61,100,442,"Normal,Flying"
60,44,35,https://img.pokemondb.net/sprites/sword-shield/icon/ekans.png,0023,Ekans,40,54,55,288,Poison
95,69,60,https://img.pokemondb.net/sprites/sword-shield/icon/arbok.png,0024,Arbok,65,79,80,448,Poison
55,40,35,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu.png,0025,Pikachu,50,50,90,320,Electric
80,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/pikachu-lets-go.png,0025,Pikachu,75,60,120,430,Electric
90,55,60,https://img.pokemondb.net/sprites/sword-shield/icon/raichu.png,0026,Raichu,90,80,110,485,Electric
85,50,60,https://img.pokemondb.net/sprites/sword-shield/icon/raichu-alolan.png,0026,Raichu,95,85,110,485,"Electric,Psychic"
75,85,50,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew.png,0027,Sandshrew,20,30,40,300,Ground
75,90,50,https://img.pokemondb.net/sprites/sword-shield/icon/sandshrew-alolan.png,0027,Sandshrew,10,35,40,300,"Ice,Steel"
100,110,75,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash.png,0028,Sandslash,45,55,65,450,Ground
100,120,75,https://img.pokemondb.net/sprites/sword-shield/icon/sandslash-alolan.png,0028,Sandslash,25,65,65,450,"Ice,Steel"
47,52,55,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-f.png,0029,Nidoran♀,40,40,41,275,Poison
62,67,70,https://img.pokemondb.net/sprites/sword-shield/icon/nidorina.png,0030,Nidorina,55,55,56,365,Poison
92,87,90,https://img.pokemondb.net/sprites/sword-shield/icon/nidoqueen.png,0031,Nidoqueen,75,85,76,505,"Poison,Ground"
57,40,46,https://img.pokemondb.net/sprites/sword-shield/icon/nidoran-m.png,0032,Nidoran♂,40,40,50,273,Poison
72,57,61,https://img.pokemondb.net/sprites/sword-shield/icon/nidorino.png,0033,Nidorino,55,55,65,365,Poison
102,77,81,https://img.pokemondb.net/sprites/sword-shield/icon/nidoking.png,0034,Nidoking,85,75,85,505,"Poison,Ground"
45,48,70,https://img.pokemondb.net/sprites/sword-shield/icon/clefairy.png,0035,Clefairy,60,65,35,323,Fairy
70,73,95,https://img.pokemondb.net/sprites/sword-shield/icon/clefable.png,0036,Clefable,95,90,60,483,Fairy
41,40,38,https://img.pokemondb.net/sprites/sword-shield/icon/vulpix.png,0037,Vulpix,50,65,65,299,Fire
